pass,forwardresult,backresult,profit,expectedpayoff,profitfactor,recoveryfactor,sharperatio,custom,equityddpercent,trades,slatrmultiplier,tpatrmultiplier,takeprofitpercent,rsibuybelow,rsisellabove,maxdrawdown,winrate,symbol,timeframe,is_start,is_end,oos_start,oos_end
1247,92.52,93.85,1073.04,19.871111,1.787587,4.046917,6.618379,0,2.6134,54,5.2,3.8,73,39,63,2.6134,92.52,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1847,92.43,51.43,1490.44,16.560444,1.563304,4.010548,14.415165,0,3.5888,90,2.0,2.0,50,40,80,3.5888,92.43,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2326,92.22,72.18,1626.32,16.595102,1.571973,2.88089,13.871293,0,5.1758,98,2.0,2.0,50,40,74,5.1758,92.22,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
490,92.15,40.85,1476.22,19.948919,1.562475,3.283481,12.198141,0,3.8881,74,2.0,2.6,53,38,78,3.8881,92.15,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2576,92.05,85.31,1700.67,20.739878,1.555094,3.727904,11.206837,0,4.0555,82,2.0,2.0,73,29,62,4.0555,92.05,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4347,92.02,95.57,949.09,14.829531,1.617772,2.517013,6.297387,0,3.7247,64,5.4,3.6,72,32,60,3.7247,92.02,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,91.96,54.09,1510.85,26.50614,1.642142,4.229585,11.646068,0,3.2649,57,2.0,2.0,98,25,66,3.2649,91.96,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1303,91.87,80.85,1756.42,29.769831,1.626646,4.754792,11.249328,0,3.1199,59,2.0,3.0,78,24,65,3.1199,91.87,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
825,91.74,84.58,1476.52,16.04913,1.55165,3.113904,13.289273,0,4.2827,92,2.0,2.0,50,32,64,4.2827,91.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,91.74,84.12,1609.57,16.258283,1.549055,3.275945,13.2482,0,4.5977,99,2.0,2.0,50,36,66,4.5977,91.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,91.61,76.19,1456.29,28.005577,2.227166,5.968402,21.392189,0,2.2002,52,2.0,2.0,50,28,76,2.2002,91.61,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1462,91.37,79.70,952.62,16.424483,1.604635,3.530969,5.889058,0,2.6591,58,5.2,5.4,51,36,63,2.6591,91.37,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1286,91.17,41.54,1393.6,18.832432,1.539561,3.112104,12.811513,0,3.9063,74,2.0,2.0,65,37,78,3.9063,91.17,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,91.08,92.63,726.1,9.812162,1.563804,2.584722,6.22918,0,2.7740,74,5.3,2.9,51,26,61,2.774,91.08,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1648,91.07,83.55,1674.9,15.800943,1.529184,3.609932,13.007713,0,4.0806,106,2.0,2.0,50,36,64,4.0806,91.07,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3724,90.89,85.68,1575.92,15.450196,1.524262,3.663056,12.133864,0,4.0552,102,2.0,2.0,50,35,64,4.0552,90.89,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
834,90.81,47.30,937.63,16.743393,1.644238,2.801321,6.05855,0,3.2921,56,5.2,3.7,72,37,61,3.2921,90.81,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
413,90.81,87.00,1655.53,21.783289,1.534219,3.060016,9.745572,0,4.8916,76,2.2,3.0,63,31,63,4.8916,90.81,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
125,90.77,92.70,1018.43,16.973833,1.57801,2.860758,6.481911,0,3.3819,60,4.8,3.9,73,39,63,3.3819,90.77,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2643,90.49,77.08,1648.36,21.407273,1.554607,2.534262,12.424616,0,5.6954,77,2.0,2.0,78,36,72,5.6954,90.49,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
302,90.37,40.76,747.65,13.350893,1.628748,2.804599,6.835971,0,2.5191,56,5.0,3.5,55,33,77,2.5191,90.37,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
796,90.29,53.82,709.9,11.831667,1.571656,2.730385,5.683131,0,2.4538,60,5.5,3.9,51,35,70,2.4538,90.29,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,90.11,89.24,1563.44,15.327843,1.504977,3.616479,12.25375,0,3.9479,102,2.0,2.0,50,35,61,3.9479,90.11,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,90.05,87.18,1600.71,19.285663,1.504636,3.628247,10.347782,0,3.9155,83,2.0,2.0,74,29,60,3.9155,90.05,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
721,90.03,84.58,1414.1,15.205376,1.502684,3.62962,11.828452,0,3.5666,93,2.0,2.0,50,27,60,3.5666,90.03,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1627,90.01,82.29,1682.57,21.298354,1.516211,2.956493,10.294891,0,5.5121,79,2.0,2.0,90,28,60,5.5121,90.01,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,89.91,36.73,1047.89,16.901452,1.528085,3.510637,8.234014,0,2.9628,62,3.5,4.0,54,34,77,2.9628,89.91,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1582,89.52,85.90,1599.91,14.813981,1.489432,3.816761,12.490323,0,3.9604,108,2.0,2.0,50,37,65,3.9604,89.52,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
247,89.50,39.85,946.41,15.264677,1.519626,3.263708,6.575886,0,2.8841,62,3.5,3.3,57,36,76,2.8841,89.5,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,89.14,73.96,1055.44,15.077714,1.534476,2.441114,11.810952,0,4.0296,70,2.0,2.0,50,31,70,4.0296,89.14,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1634,89.09,87.73,1344.26,14.611522,1.486961,3.01147,11.023447,0,4.2753,92,2.0,2.0,50,35,67,4.2753,89.09,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2318,89.01,57.84,2158.9,32.710606,1.646584,2.153323,10.214854,0,7.8940,66,2.0,3.6,71,39,61,7.894,89.01,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4140,88.87,89.02,686.77,9.672817,1.525833,2.444717,5.843458,0,2.7739,71,5.3,2.2,72,26,61,2.7739,88.87,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
678,88.87,67.54,1596.29,20.206203,1.486879,3.048857,10.042813,0,5.0903,79,2.0,2.0,94,28,62,5.0903,88.87,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2405,88.78,85.31,1527.33,14.408774,1.471318,3.671819,11.692769,0,3.9300,106,2.0,2.0,50,36,65,3.93,88.78,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1172,88.72,87.36,1282.1,14.569318,1.473939,3.173908,11.237124,0,3.6980,88,2.0,2.0,50,27,61,3.698,88.72,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1197,88.51,82.25,1435.23,19.1364,1.541478,2.294679,12.0631,0,5.4782,75,2.0,2.0,65,36,71,5.4782,88.51,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,88.29,31.75,1499.42,21.118592,1.486389,2.780566,9.329496,0,4.6462,71,2.0,2.0,98,33,66,4.6462,88.29,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2666,88.20,78.26,1092.57,14.764459,1.497883,2.517732,11.569368,0,4.2567,74,2.0,2.0,50,29,67,4.2567,88.2,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,88.01,41.04,1914.12,36.115472,1.711585,3.199265,10.555935,0,5.1163,53,2.0,3.5,80,31,66,5.1163,88.01,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3688,87.74,40.24,1355.66,27.1132,2.000613,4.467785,16.895202,0,2.8325,50,2.0,2.0,59,29,76,2.8325,87.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
715,87.69,90.60,1153.67,13.734167,1.445854,3.296859,11.310666,0,3.2404,84,2.0,2.0,50,20,60,3.2404,87.69,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,87.67,48.47,2129.12,32.259394,1.607523,2.416352,8.902881,0,7.1137,66,2.0,3.5,78,38,66,7.1137,87.67,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2723,87.66,83.83,1354.89,18.560137,1.455667,3.015155,9.451104,0,3.9892,73,2.0,2.0,80,26,62,3.9892,87.66,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
909,87.60,89.31,953.29,14.666,1.5862,2.086567,5.995084,0,4.5122,65,4.9,4.2,57,38,60,4.5122,87.6,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1644,87.41,84.07,1218.96,14.340706,1.483176,2.462496,11.344183,0,4.7739,85,2.0,2.0,50,32,66,4.7739,87.41,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
723,87.31,83.58,1833.02,22.91275,1.468496,3.308342,8.812215,0,5.4106,80,2.0,2.4,94,40,63,5.4106,87.31,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
